FID,ResponseId,POINT_X,POINT_Y
0,R_2WMboDs8G5Rfhox,531826.687962000025436,1304842.470720000099391
1,R_7rJ10vR3ZSfQlkl,430591.696639999980107,1278378.403900000033900
2,R_6pJq7VtKjjYCZOv,597345.565838000038639,1416682.523989999899641
3,R_7Sp0TmS0kk9Fjru,512744.703245999990031,1323573.025020000059158
4,R_7riI5549Hs6Esxr,473639.616119000012986,1138203.349500000011176
5,R_7uZt6WOljDiZT8J,536256.322071000002325,1300612.549690000014380
6,R_7SBxF9mQMaKKokF,514050.887410000024829,1230205.406889999983832
7,R_1psA7hq4zOY6VjK,516633.245716999983415,1319018.585789999924600
8,R_12QZTw4L64TNQkU,442677.218356000026688,1241812.282970000058413
9,R_5HdwiRkjHSzPAsy,465644.603456999990158,1337498.004170000087470
10,R_1YxO0tFkn6H4WTz,468301.780330999987200,1145759.131830000085756
11,R_14,514036.274207999987993,1229373.718949999893084
12,R_19,509991.657676999981049,1228742.346029999898747
13,R_17,521182.589610999973956,1231870.411420000018552
14,R_16,514845.305144999991171,1322457.865729999961331
15,R_09,513575.772601999982726,1317997.751589999999851
16,R_20,470416.222391000017524,1345457.379239999921992
17,R_21,467995.445005999994464,1332552.906500000040978
18,R_10,468083.608655999996699,1342566.885930000105873
19,R_02,531815.014182999962941,1302179.446789999958128
20,R_7o0hEuGDAXioAa6,444411.494691000028979,1251052.166290000081062
21,R_5FOPAZUJbnUyf72,443077.165304000023752,1244782.504939999897033
22,R_23,444418.530725000018720,1240149.329540000064299
23,R_07,429957.398988000000827,1277841.796850000042468
24,R_05,429996.753119000000879,1274872.251209999900311
25,R_24,435114.036651999980677,1275004.382130000041798
26,R_08,482639.706915999995545,1150848.254930000053719
27,R_15,482915.793828000023495,1150843.283969999989495
28,R_22,451645.405006000015419,1152475.241420000093058
29,R_12,474209.313885000010487,1155539.260119999991730
30,R_03,484228.971714999992400,1149902.478730000089854
31,R_18,477106.571461000014096,1159064.172729999991134
32,R_x04NA,602232.721800999948755,1419046.462950000073761
33,R_x09NA,603436.710322999977507,1420501.434840000001714
34,R_x29NA,599584.922242000000551,1416390.753160000080243
35,R_28,600906.522840999998152,1424331.694080000044778
36,R_11,426887.836789999972098,1300172.668270000023767
37,R_x02NA,525989.094600999960676,1221892.620570000028238
38,R_x15NA,514032.741589999990538,1229045.405520000029355
39,R_x19NA,529279.974871000042185,1213145.814520000014454
40,R_x24NA,513672.093781000003219,1230577.548840000061318
41,R_12XebcEpJ2px0oh,511860.230029000027571,1321256.810180000029504
42,R_x30NA,467920.963018000009470,1332560.572889999952167
43,R_27,468006.386334999988321,1337468.900589999975637
44,R_x21NA,536258.615443999995477,1301155.631310000084341
45,R_25,447031.049927000014577,1239872.870120000094175
46,R_x03NA,447047.042613000026904,1245439.934300000080839
47,R_x05NA,441747.349562000017613,1244467.089690000051633
48,R_x31NA,439109.201653999974951,1245124.551049999892712
49,R_x32NA,439170.555313999997452,1267817.682770000072196
50,R_x20NA,425770.644155999994837,1302225.950560000026599
51,R_26,465351.058355999994092,1150116.208989999955520
52,R_x01NA,465403.278921000019182,1149781.261620000004768
53,R_x18NA,475246.574069000023883,1137648.242730000056326
54,R_x36NA,534321.591307000024244,1283597.169939999934286
